airport_name,airport_code,city_code,city_name,country_name
Weifang,WEF,WEF,Weifang,China
Xinzhou Wutaishan,WUT,WUT,Xinzhou,China
Xujiaping,ENH,ENH,Enshi,China
Changhai Airport,CNI,CNI,Dalian,China
Chenggu,HZG,HZG,Hanzhong,China
Alashankou,BPL,BPL,Bole,China
Shaxian,SQJ,SQJ,Sanming,China
Wudangshan,WDS,WDS,Shiyan,China
Baise Bama Airport,AEB,AEB,Baise Shi,China
Qiaoli,LFQ,LFQ,Linfen,China
Sanqingshan,SQD,SQD,Shangrao,China
Dehong Mangshi,LUM,LUM,Mangshi,China
Minggang,XAI,XAI,Xinyang,China
Yingkou Lanqi,YKH,YKH,Yingkou,China
Heshi,DAX,DAX,Dazhou,China
Guangong,YCU,YCU,Yuncheng,China
Enyang,BZX,BZX,Bazhong,China
Wuhai Airport,WUA,WUA,Wuhai,China
Yue Zhao,LPF,LPF,Liupanshui,China
Daxing Intl,PKX,BJS,Beijing,China
Shanzihe,RIZ,RIZ,Rizhao,China
Jixi Xingkaihu Airport,JXA,JXA,Jixi Shi,China
